cell	label
P2769_N710-S511	J-LatA2+PMA
P2458_N702-S513	Jurkat+DMSO
P2771_N710-S502	Jurkat+SAHA
P2769_N712-S505	J-LatA2+DMSO
P2771_N706-S506	J-LatA2+DMSO
P2449_N724-S505	J-LatA2+DMSO
P2769_N703-S508	J-LatA2+SAHA
P2771_N711-S506	J-LatA2+SAHA
P2449_N716-S507	J-LatA2+SAHA
P2770_N711-S518	J-LatA2+SAHA
P2449_N726-S510	J-LatA2+SAHA
P2769_N703-S503	Jurkat+SAHA
P2449_N726-S511	J-LatA2+SAHA
P2770_N703-S517	J-LatA2+DMSO
P2771_N702-S503	Jurkat+SAHA
P2769_N707-S506	J-LatA2+SAHA
P2458_N707-S522	J-LatA2+SAHA
P2449_N722-S503	J-LatA2+DMSO
P2770_N715-S516	J-LatA2+DMSO
P2449_N727-S511	J-LatA2+SAHA
P2771_N714-S503	Jurkat+PMA
P2769_N704-S511	J-LatA2+PMA
P2458_N707-S516	J-LatA2+DMSO
P2449_N723-S507	J-LatA2+SAHA
P2771_N714-S505	J-LatA2+DMSO
P2449_N729-S507	J-LatA2+SAHA
P2769_N710-S502	Jurkat+SAHA
P2770_N706-S516	Jurkat+PMA
P2449_N723-S510	J-LatA2+SAHA
P2769_N702-S507	J-LatA2+SAHA
P2770_N712-S513	Jurkat+SAHA
P2449_N729-S508	J-LatA2+SAHA
P2771_N707-S502	Jurkat+SAHA
P2458_N715-S517	J-LatA2+SAHA
P2770_N712-S521	J-LatA2+PMA
P2449_N718-S511	J-LatA2+SAHA
P2771_N715-S510	J-LatA2+PMA
P2458_N714-S520	J-LatA2+SAHA
P2458_N706-S515	J-LatA2+DMSO
P2769_N702-S505	Jurkat+PMA
P2458_N707-S520	J-LatA2+SAHA
P2449_N726-S502	J-LatA2+DMSO
P2769_N710-S506	J-LatA2+SAHA
P2769_N701-S507	J-LatA2+SAHA
P2770_N706-S520	J-LatA2+SAHA
P2449_N719-S502	Jurkat+DMSO
P2458_N706-S517	J-LatA2+SAHA
P2771_N701-S507	J-LatA2+SAHA
P2458_N704-S516	J-LatA2+DMSO
P2770_N715-S522	J-LatA2+PMA
P2458_N703-S521	J-LatA2+SAHA
P2771_N703-S510	J-LatA2+PMA
P2771_N711-S508	J-LatA2+SAHA
P2770_N707-S516	J-LatA2+DMSO
P2458_N704-S517	J-LatA2+SAHA
P2769_N715-S507	J-LatA2+SAHA
P2458_N702-S522	J-LatA2+SAHA
P2770_N710-S516	J-LatA2+DMSO
P2458_N704-S520	J-LatA2+SAHA
P2770_N711-S517	J-LatA2+SAHA
P2770_N705-S516	Jurkat+PMA
P2770_N705-S515	Jurkat+SAHA
P2458_N711-S520	J-LatA2+SAHA
P2769_N711-S505	J-LatA2+DMSO
P2449_N727-S510	J-LatA2+SAHA
P2449_N728-S508	J-LatA2+SAHA
P2769_N702-S503	Jurkat+SAHA
P2771_N714-S511	J-LatA2+PMA
P2449_N729-S503	J-LatA2+DMSO
P2770_N702-S521	J-LatA2+PMA
P2458_N706-S521	J-LatA2+SAHA
P2449_N723-S511	J-LatA2+SAHA
P2771_N710-S505	J-LatA2+DMSO
P2770_N712-S515	Jurkat+PMA
P2449_N721-S511	J-LatA2+SAHA
P2769_N712-S511	J-LatA2+PMA
P2458_N705-S517	J-LatA2+SAHA
P2458_N715-S521	J-LatA2+SAHA
P2771_N712-S507	J-LatA2+SAHA
